Date,Open,High,Low,Close    Close price adjusted for splits.,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
Jun 6 2025,26056.0,26090.0,26025.0,26056.0,26056.0,-
Jun 5 2025,26071.0,26104.0,26050.0,26071.0,26071.0,-
Jun 4 2025,26038.0,26085.0,26020.0,26038.0,26038.0,-
Jun 3 2025,26022.0,26070.0,26019.0,26022.0,26022.0,-
Jun 2 2025,26019.0,26033.0,25970.0,26019.0,26019.0,-
May 30 2025,25996.0,26030.0,25930.0,25996.0,25996.0,-
May 29 2025,25950.0,26044.0,25950.0,25950.0,25950.0,-
May 28 2025,25903.0,25960.0,25903.0,25903.0,25903.0,-
May 27 2025,25897.0,25955.0,25871.0,25897.0,25897.0,-
May 26 2025,25946.0,25959.0,25880.0,25946.0,25946.0,-
May 23 2025,25973.0,25959.0,25930.0,25973.0,25973.0,-
May 22 2025,25950.0,25979.0,25945.0,25950.0,25950.0,-
May 21 2025,25950.0,25970.0,25900.0,25950.0,25950.0,-
May 20 2025,25932.0,25964.0,25932.0,25932.0,25932.0,-
May 19 2025,25917.0,25951.0,25890.0,25917.0,25917.0,-
May 16 2025,25920.0,25930.0,25890.0,25920.0,25920.0,-
May 15 2025,25924.0,25950.0,25896.0,25924.0,25924.0,-
May 14 2025,25951.0,25966.0,25900.0,25951.0,25951.0,-
May 13 2025,25960.0,25980.0,25920.0,25960.0,25960.0,-
May 12 2025,25952.0,25975.0,25926.0,25952.0,25952.0,-
May 9 2025,25959.0,25989.0,25940.0,25959.0,25959.0,-
May 8 2025,25953.0,25980.0,25942.0,25953.0,25953.0,-
May 7 2025,25948.0,25967.0,25895.0,25948.0,25948.0,-
May 6 2025,25942.0,25982.0,25937.0,25942.0,25942.0,-
May 5 2025,25980.0,25987.0,25930.0,25980.0,25980.0,-
May 2 2025,25980.0,25980.0,25980.0,25980.0,25980.0,-
May 1 2025,25980.0,25980.0,25980.0,25980.0,25980.0,-
Apr 30 2025,25980.0,25980.0,25970.0,25980.0,25980.0,-
